Store,Dept,Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size
1,1,2/5/10,24924.5,FALSE,42.31,2.572,,,,,,211.0963582,8.106,A,151315
1,1,2/12/10,46039.49,TRUE,38.51,2.548,,,,,,211.2421698,8.106,A,151315
1,1,2/19/10,41595.55,FALSE,39.93,2.514,,,,,,211.2891429,8.106,A,151315
1,1,2/26/10,19403.54,FALSE,46.63,2.561,,,,,,211.3196429,8.106,A,151315
1,1,3/5/10,21827.9,FALSE,46.5,2.625,,,,,,211.3501429,8.106,A,151315
1,1,3/12/10,21043.39,FALSE,57.79,2.667,,,,,,211.3806429,8.106,A,151315
1,1,3/19/10,22136.64,FALSE,54.58,2.72,,,,,,211.215635,8.106,A,151315
1,1,3/26/10,26229.21,FALSE,51.45,2.732,,,,,,211.0180424,8.106,A,151315
1,1,4/2/10,57258.43,FALSE,62.27,2.719,,,,,,210.8204499,7.808,A,151315
1,1,4/9/10,42960.91,FALSE,65.86,2.77,,,,,,210.6228574,7.808,A,151315
1,1,4/16/10,17596.96,FALSE,66.32,2.808,,,,,,210.4887,7.808,A,151315
1,1,4/23/10,16145.35,FALSE,64.84,2.795,,,,,,210.4391228,7.808,A,151315
1,1,4/30/10,16555.11,FALSE,67.41,2.78,,,,,,210.3895456,7.808,A,151315
1,1,5/7/10,17413.94,FALSE,72.55,2.835,,,,,,210.3399684,7.808,A,151315
1,1,5/14/10,18926.74,FALSE,74.78,2.854,,,,,,210.3374261,7.808,A,151315
1,1,5/21/10,14773.04,FALSE,76.44,2.826,,,,,,210.6170934,7.808,A,151315
1,1,5/28/10,15580.43,FALSE,80.44,2.759,,,,,,210.8967606,7.808,A,151315
1,1,6/4/10,17558.09,FALSE,80.69,2.705,,,,,,211.1764278,7.808,A,151315
1,1,6/11/10,16637.62,FALSE,80.43,2.668,,,,,,211.4560951,7.808,A,151315
1,1,6/18/10,16216.27,FALSE,84.11,2.637,,,,,,211.4537719,7.808,A,151315
1,1,6/25/10,16328.72,FALSE,84.34,2.653,,,,,,211.3386526,7.808,A,151315
1,1,7/2/10,16333.14,FALSE,80.91,2.669,,,,,,211.2235333,7.787,A,151315
1,1,7/9/10,17688.76,FALSE,80.48,2.642,,,,,,211.108414,7.787,A,151315
1,1,7/16/10,17150.84,FALSE,83.15,2.623,,,,,,211.1003854,7.787,A,151315
1,1,7/23/10,15360.45,FALSE,83.36,2.608,,,,,,211.2351443,7.787,A,151315
1,1,7/30/10,15381.82,FALSE,81.84,2.64,,,,,,211.3699032,7.787,A,151315
1,1,8/6/10,17508.41,FALSE,87.16,2.627,,,,,,211.5046621,7.787,A,151315
1,1,8/13/10,15536.4,FALSE,87,2.692,,,,,,211.6394211,7.787,A,151315
